dataset,cantidad_locales,limite_contagio,metodo,tiempo
mejor-caso-BT,38,1000,BT,0.002374
mejor-caso-BT,38,1000,BT-F,0.002675
mejor-caso-BT,38,1000,BT-O,1200.48
mejor-caso-BT,39,1000,BT,0.002936
mejor-caso-BT,39,1000,BT-F,0.002705
mejor-caso-BT,39,1000,BT-O,1983.81
mejor-caso-BT,40,1000,BT,0.002885
mejor-caso-BT,40,1000,BT-F,0.003096
mejor-caso-BT,40,1000,BT-O,3384.2
mejor-caso-BT,41,1000,BT,0.002895
mejor-caso-BT,41,1000,BT-F,0.003086
mejor-caso-BT,41,1000,BT-O,5642.16
mejor-caso-BT,42,1000,BT,0.002976
mejor-caso-BT,42,1000,BT-F,0.003166
mejor-caso-BT,42,1000,BT-O,9092.52
mejor-caso-BT,43,1000,BT,0.003186
mejor-caso-BT,43,1000,BT-F,0.003196
mejor-caso-BT,43,1000,BT-O,14776.4
mejor-caso-BT,44,1000,BT,0.002314
mejor-caso-BT,44,1000,BT-F,0.003707
mejor-caso-BT,44,1000,BT-O,23576.4
mejor-caso-BT,45,1000,BT,0.002956
mejor-caso-BT,45,1000,BT-F,0.003046
mejor-caso-BT,45,1000,BT-O,38187.2
mejor-caso-BT,46,1000,BT,0.003086
mejor-caso-BT,46,1000,BT-F,0.002926
mejor-caso-BT,46,1000,BT-O,61330.8
mejor-caso-BT,47,1000,BT,0.002855
mejor-caso-BT,47,1000,BT-F,0.002645
mejor-caso-BT,47,1000,BT-O,98361.8
mejor-caso-BT,48,1000,BT,0.002535
mejor-caso-BT,48,1000,BT-F,0.002384
mejor-caso-BT,48,1000,BT-O,126073.0
mejor-caso-BT,49,1000,BT,0.002535
mejor-caso-BT,49,1000,BT-F,0.002405
mejor-caso-BT,49,1000,BT-O,250240.0
mejor-caso-BT-O,0,70,BT,0.001934
mejor-caso-BT-O,0,70,BT-F,0.002685
mejor-caso-BT-O,0,70,BT-O,0.002044
mejor-caso-BT-O,1,70,BT,0.001864
mejor-caso-BT-O,1,70,BT-F,0.002063
mejor-caso-BT-O,1,70,BT-O,0.002364
mejor-caso-BT-O,2,70,BT,0.002124
mejor-caso-BT-O,2,70,BT-F,0.002074
mejor-caso-BT-O,2,70,BT-O,0.002244
mejor-caso-BT-O,3,70,BT,0.001974
mejor-caso-BT-O,3,70,BT-F,0.002124
mejor-caso-BT-O,3,70,BT-O,0.002093
mejor-caso-BT-O,4,70,BT,0.002896
mejor-caso-BT-O,4,70,BT-F,0.002655
mejor-caso-BT-O,4,70,BT-O,0.002424
mejor-caso-BT-O,5,70,BT,0.001904
mejor-caso-BT-O,5,70,BT-F,0.002334
mejor-caso-BT-O,5,70,BT-O,0.002405
mejor-caso-BT-O,6,70,BT,0.002284
mejor-caso-BT-O,6,70,BT-F,0.002585
mejor-caso-BT-O,6,70,BT-O,0.002695
mejor-caso-BT-O,7,70,BT,0.002435
mejor-caso-BT-O,7,70,BT-F,0.002795
mejor-caso-BT-O,7,70,BT-O,0.002144
mejor-caso-BT-O,8,70,BT,0.002595
mejor-caso-BT-O,8,70,BT-F,0.006222
mejor-caso-BT-O,8,70,BT-O,0.002695
mejor-caso-BT-O,9,70,BT,0.002003
mejor-caso-BT-O,9,70,BT-F,0.004619
mejor-caso-BT-O,9,70,BT-O,0.002134
mejor-caso-BT-O,10,70,BT,0.002595
mejor-caso-BT-O,10,70,BT-F,0.004749
mejor-caso-BT-O,10,70,BT-O,0.006051
mejor-caso-BT-O,11,70,BT,0.002084
mejor-caso-BT-O,11,70,BT-F,0.006191
mejor-caso-BT-O,11,70,BT-O,0.002134
mejor-caso-BT-O,12,70,BT,0.003056
mejor-caso-BT-O,12,70,BT-F,0.008947
mejor-caso-BT-O,12,70,BT-O,0.003016
mejor-caso-BT-O,13,70,BT,0.002004
mejor-caso-BT-O,13,70,BT-F,0.012103
mejor-caso-BT-O,13,70,BT-O,0.002926
mejor-caso-BT-O,14,70,BT,0.003246
mejor-caso-BT-O,14,70,BT-F,0.018154
mejor-caso-BT-O,14,70,BT-O,0.003316
mejor-caso-BT-O,15,70,BT,0.002685
mejor-caso-BT-O,15,70,BT-F,0.035346
mejor-caso-BT-O,15,70,BT-O,0.002154
mejor-caso-BT-O,16,70,BT,0.003537
mejor-caso-BT-O,16,70,BT-F,0.044053
mejor-caso-BT-O,16,70,BT-O,0.004158
